編號,提出單位,提出建議,題庫方向,中文問題,中文答案,English Question,English Answer,問題說明
1,,,動物資訊,領角鴞吃甚麼?,領角鴞主要吃昆蟲、鳥類與小型哺乳動物（如老鼠）。 （以上資料來自：官網動物圖鑑）,What does the Collared Scops Owl eat?,"The Collared Scops Owl’s diet includes:
- Insects
- Birds
- Small mammals (e.g., mice)

(Source: Taipei Zoo official animal guide)",
2,,,動物資訊,野豬媽媽如何保護幼仔?,"產前築「豬窩」保暖遮蔽
成群活動，以公豬為中心的家族群彼此警戒
帶幼豬躲藏並避開人類活動 （以上資料來自：官網動物圖鑑／實體展板）",How do  Formosan Wild Boar mothers protect their young?,"Verified behaviors of Formosan Wild Boar mothers :
- Nest-building: Before giving birth, the mother builds a nest to keep piglets warm and sheltered.
- Care and protection: She keeps piglets close, leading them to safe cover and avoiding human activity.
- Mud wallowing: Helps regulate temperature and reduce parasites on both mother and young.",
3,動物組,完整說明8種穿山甲,動物資訊,世界上有幾種穿山甲?,全世界共有8種穿山甲，4種分布於亞洲、4種分布於非洲。亞洲的四種穿山甲是：中華穿山甲、印度穿山甲、馬來穿山甲，以及菲律賓穿山甲。非洲的四種穿山甲則是：黑腹長尾穿山甲、白腹長尾穿山甲、大穿山甲，和南非穿山甲（以上資料來自：實體展板）,How many species of pangolins are there in the world?,"There are eight species of pangolins in the world—four found in Asia and four in Africa.
The four Asian species are the Chinese pangolin, Indian pangolin, Sunda pangolin, and Philippine pangolin.
The four African species are the black-bellied long-tailed pangolin, white-bellied long-tailed pangolin, giant pangolin, and South African pangolin.",
4,"動物組
推廣組","新增犰狳
學名斜體字",動物資訊,有哪幾種食蟻獸跟穿山甲容易搞混?,"常被拿來與穿山甲比較、易混淆的「吃蟻動物」有：
大食蟻獸、小食蟻獸、侏食蟻獸、袋食蟻獸、土豚、澳洲針鼴、犰狳
（以上資料來自：實體展板）",Which “ant-eating animals” are often compared to and easily confused with pangolins?,"Animals often mistakenly compared to pangolins include:
Giant anteater, Southern tamandua, Silky anteater, Numbat, Aardvark, Short-beaked echidna, Armadillos
(Source: Exhibition display panels)",
5,,,動物資訊,穿山甲的威脅與困境,"穿山甲面臨的主要威脅與困境：

非法走私與濫捕猖獗，為全球走私量最多的哺乳類
傳統迷思導致肉與鱗片需求；但鱗片成分如人類指甲，無醫療價值
棲地破碎化與消失，生存受威脅
過去獸鋏傷害多，禁用後減少；現今以無主犬隻攻擊為首因 （以上資料來自：實體展板）",The Threats and Plight of Pangolins?,"Major threats and challenges faced by pangolins:

- Rampant illegal smuggling and poaching — pangolins are the most trafficked mammals in the world.
- Traditional beliefs drive demand for their meat and scales; however, the scales are made of the same material as human nails and have no medicinal value.
- Habitat fragmentation and loss threaten their survival.
- In the past, many were injured by animal traps, but such cases have decreased since traps were banned; today, attacks by stray dogs are the leading cause.
(Source: Exhibition Panel)",
6,,,動物資訊,石虎與家貓的比較?,"石虎與家貓的簡易比較：

體型與花紋：石虎體型似家貓，但毛色灰褐，佈滿「錢幣狀斑點」，額有兩條灰白縱帶，耳後黑色帶白斑；家貓花色多變。
習性：石虎多獨居、夜行，白天躲在樹洞或岩縫；家貓作息受飼主影響。
能力：石虎擅爬樹、會游泳；家貓一般不善游泳。
食性：石虎肉食，以小型動物為主；家貓為馴化物種，多吃飼料。 （以上資料來自：官網動物圖鑑）",How does the Leopard Cat differ from a domestic cat?,"Here are verified differences between Leopard Cat and domestic cat:

- Size and build: Leopard cat is similar in size but more slender and athletic; truly wild, not domesticated.
- Coat pattern: Gray-brown with coin-like dark spots; two pale stripes on forehead with black stripes beside; black ears with white patches behind.
- Behavior: Solitary, mostly nocturnal; rests in tree holes or rock crevices by day; good at swimming and climbing.
- Diet: Carnivorous, mainly small animals (e.g., rodents), unlike many pet cats with commercial diets.
- Status: Protected wild species in Taiwan (Class I), not a pet. (Source: Zoo animal guide)",
7,,,動物資訊,臺灣野山羊跟臺灣山羌的差別?,"重點差異如下：

分類與角：野山羊屬牛科，雌雄都有空心角、終生不脫；山羌屬鹿科，雄性短角每年更新，雌性無角。
體型與毛色：野山羊深褐色、蹄圓粗；山羌黃褐色、身形較瘦、腿細蹄細。
棲地高度：野山羊多中高海拔、岩壁峭坡；山羌從低海拔到3,000公尺、闊葉林常見。
行為：兩者多獨居、晨昏活動；山羌受驚會豎短尾露白毛並發出似狗吠聲。 （以上資料來自：實體展板／官網動物圖鑑）",What are the differences between the Formosan Serow and the Formosan Reeve’s Muntjac?,"Key differences (Formosan Serow vs. Formosan Reeve’s Muntjac):

- Taxonomy:
  - Serow: Bovidae (true horns, ruminant bovid).
  - Muntjac: Cervidae (deer).
- Headgear:
  - Serow: Both sexes have a pair of hollow, conical horns; not shed.
  - Muntjac: Males have small, solid antlers with a little fork; shed and regrow annually. Females lack antlers.
- Build and hooves:
  - Serow: Stockier, dark brown coat; round, coarse hooves.
  - Muntjac: Slender body, yellow‑brown coat; slim legs, lean hooves.
- Tail and markings:
  - Both have short tails; muntjac’s tail underside is white.
- Glands:
  - Both have pre‑orbital (eye) glands.
- Habitat in Taiwan:
  - Serow: Mostly mid‑to‑high elevation steep, rocky slopes and cliffs.
  - Muntjac: Forests from low elevations up to about 3,000 m, shaded dense woods.
- Activity and lifestyle:
  - Both are solitary and mainly active at dawn/dusk; both herbivorous.
(Source: exhibit panels / official zoo animal guide)",
8,動物組,白鼻心體型較大,動物資訊,鼬獾與白鼻心的區別?,"鼬獾與白鼻心的主要差異如下：

臉部花紋：白鼻心白線從額頭連到鼻端；鼬獾白線不連貫。
生活型態：白鼻心善爬樹，地、樹棲；鼬獾不善爬樹，多在地面活動。
體型比例：白鼻心體型較大、尾較長；鼬獾較小、尾較短。
食性差異：白鼻心雜食偏愛果實；鼬獾雜食、常挖食蚯蚓與甲蟲幼蟲。 （以上資料來自：實體展板與官網動物圖鑑）",What are the differences between the Formosan Ferret-badger and the Formosan Gem-faced Civet??,"Key differences:

Face markings: Ferret-badger has discontinuous white facial patches; Civet has a continuous white stripe from forehead to nose.
Size and tail: Ferret-badger is smaller with a shorter tail; Civet is larger with a longer tail.
Locomotion: Ferret-badger is poor at climbing and stays on the ground; Civet is arboreal and good at climbing.
Diet emphasis: Ferret-badger often digs for earthworms and beetle larvae; Civet is omnivorous but favors juicy fruits.
(Source: Taipei Zoo exhibit panels/animal guide)",
9,,,動物資訊,穿山甲的前肢尖爪有什麼作用？,"穿山甲的前肢尖爪非常有力，主要用來：

挖掘居住洞與覓食洞
破開土坡、枯木找螞蟻和白蟻
在需要時協助攀爬與躲避 （以上資料來自：官網動物圖鑑與實體展板）",What are the functions of the pangolin's sharp foreclaws?,"Key functions of a pangolin’s sharp foreclaws:

Dig burrows for living, foraging, and hiding.
Tear into ant and termite nests to feed.
(Source: Taipei Zoo animal guide/exhibit panels)",
10,,,動物資訊,穿山甲是保育類嗎?,是的。中華穿山甲已被國際自然保育聯盟列為極危（CR）等級，屬高度保育關注物種。（以上資料來自：實體展板）,Is the Chinese pangolin a protected species?,"Yes. The Chinese Pangolin is a protected species and is classified by the IUCN as Critically Endangered (CR). Please do not disturb or capture it; if you find one in danger, contact your local wildlife authority for assessment. (Source: Exhibit signage)",
